,Country,Times Mentioned
0,France,16
1,Germany,43
2,Austria,5
3,Hungary,3
4,Bulgaria,2
5,Ukraine,2
6,Italy,14
7,Spain,1
8,Poland,13
9,Estonia,2
10,Latvia,2
11,Lithuania,3
12,Finland,4
13,Belgium,2
14,Netherlands,2
15,Luxembourg,1
16,Denmark,3
17,Norway,5
18,Sweden,1
19,Greece,4
20,Albania,2
21,Belarus,1
22,Libya,5
23,Egypt,2
24,Iraq,1
25,Japan,33
26,Morocco,1
27,Algeria,1
28,China,10
29,Thailand,1
30,Singapore,2
31,Guam,3
32,Philippines,5
33,Guinea,4
34,Australia,2
35,India,9
36,Mexico,1
37,Pakistan,4
38,Israel,4
39,Bangladesh,2
40,Cambodia,2
41,Kenya,1
42,Ghana,1
43,Seychelles,1
44,Angola,1
45,Mozambique,1
46,Congo,1
47,Romania,3
48,Mongolia,1
49,Cuba,3
50,Canada,2
51,Ireland,1
52,Afghanistan,1
53,Lebanon,1
